county,precinct,office,district,party,candidate,votes,provisional_ed,early_vote,absentee,provisional_ev,post,election_day
Washington,084 Center-4,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,085 Center-5,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,0,0,0,0,1
Washington,100 Cove Creek-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,13,0,6,0,0,0,7
Washington,101 Cove Creek-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,110 Cove Creek-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,1,0,0,0,0
Washington,120 Crawford,U.S. Congress District 03,,LIB,Michael J. Kalagias,9,0,4,0,0,0,5
Washington,140 Durham,U.S. Congress District 03,,LIB,Michael J. Kalagias,7,0,3,0,0,0,4
Washington,160 Dutch Mills,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,0,0,0,0,3
Washington,180 Elkins-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,42,0,15,0,0,0,27
Washington,181 Elkins-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,1,0,0,0,2
Washington,200 Elm Springs Twp,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,1,0,0,0,2
Washington,210 Elm Springs City-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,9,0,2,0,0,0,7
Washington,211 Elm Springs City-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,6,0,2,0,0,0,4
Washington,220 Farmington-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,24,0,10,0,0,0,14
Washington,221 Farmington-5,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,222 Farmington-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,38,0,18,1,0,0,19
Washington,223 Farmington-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,15,0,6,0,0,0,9
Washington,224 Farmington-4,U.S. Congress District 03,,LIB,Michael J. Kalagias,13,0,4,0,0,0,9
Washington,225 Farmington-6,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,1,0,0,0,2
Washington,240 Fay 01,U.S. Congress District 03,,LIB,Michael J. Kalagias,12,0,2,0,0,0,10
Washington,241 Fay 49,U.S. Congress District 03,,LIB,Michael J. Kalagias,9,0,3,0,0,0,6
Washington,242 Fay 50,U.S. Congress District 03,,LIB,Michael J. Kalagias,5,0,1,0,0,0,4
Washington,243 Fay 51,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,1,0,0,0,0
Washington,244 Fay 52,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,245 Fay 53,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,0,0,0,0,2
Washington,246 Fay 54,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,247 Fay 55,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,2,0,0,0,1
Washington,248 Fay 56,U.S. Congress District 03,,LIB,Michael J. Kalagias,14,0,8,0,0,0,6
Washington,249 Fay 57,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,250 Fay 02,U.S. Congress District 03,,LIB,Michael J. Kalagias,8,0,2,0,0,0,6
Washington,251 Fay 58,U.S. Congress District 03,,LIB,Michael J. Kalagias,9,0,5,0,0,0,4
Washington,252 Fay 59,U.S. Congress District 03,,LIB,Michael J. Kalagias,7,0,5,0,0,0,2
Washington,253 Fay 60,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,254 Fay 61,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,255 Fay 62,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,256 Fay 63,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,0,0,0,0,1
Washington,257 Fay 64,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,258 Fay 65,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,259 Fay 66,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,0,0,0,0,1
Washington,260 Fay 03,U.S. Congress District 03,,LIB,Michael J. Kalagias,34,0,9,0,0,0,25
Washington,270 Fay 04,U.S. Congress District 03,,LIB,Michael J. Kalagias,22,0,9,0,0,0,13
Washington,280 Fay 05,U.S. Congress District 03,,LIB,Michael J. Kalagias,20,0,7,0,0,0,13
Washington,290 Fay 06,U.S. Congress District 03,,LIB,Michael J. Kalagias,33,0,10,0,0,0,23
Washington,300 Fay 07,U.S. Congress District 03,,LIB,Michael J. Kalagias,11,0,7,0,0,0,4
Washington,310 Fay 08,U.S. Congress District 03,,LIB,Michael J. Kalagias,33,0,12,0,0,0,21
Washington,320 Fay 09a,U.S. Congress District 03,,LIB,Michael J. Kalagias,11,0,4,0,0,0,7
Washington,321 Fay 09b,U.S. Congress District 03,,LIB,Michael J. Kalagias,37,0,7,0,0,0,30
Washington,330 Fay 10,U.S. Congress District 03,,LIB,Michael J. Kalagias,13,0,6,0,0,0,7
Washington,331 Fay 11,U.S. Congress District 03,,LIB,Michael J. Kalagias,27,0,7,1,0,0,19
Washington,332 Fay 12,U.S. Congress District 03,,LIB,Michael J. Kalagias,30,0,11,0,0,0,19
Washington,333 Fay 13,U.S. Congress District 03,,LIB,Michael J. Kalagias,23,0,6,0,0,0,17
Washington,334 Fay 14,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,1,0,0,0,2
Washington,335 Fay 15,U.S. Congress District 03,,LIB,Michael J. Kalagias,6,0,2,0,0,0,4
Washington,336 Fay 16,U.S. Congress District 03,,LIB,Michael J. Kalagias,7,0,4,0,0,0,3
Washington,337 Fay 17,U.S. Congress District 03,,LIB,Michael J. Kalagias,17,0,6,0,0,0,11
Washington,338 Fay 18,U.S. Congress District 03,,LIB,Michael J. Kalagias,7,0,3,0,0,0,4
Washington,339 Fay 19,U.S. Congress District 03,,LIB,Michael J. Kalagias,17,0,4,0,0,0,13
Washington,340 Fay 20,U.S. Congress District 03,,LIB,Michael J. Kalagias,43,0,12,0,0,0,31
Washington,341 Fay 21,U.S. Congress District 03,,LIB,Michael J. Kalagias,8,0,3,0,0,0,5
Washington,342 Fay 22,U.S. Congress District 03,,LIB,Michael J. Kalagias,45,0,17,0,0,0,28
Washington,343 Fay 23,U.S. Congress District 03,,LIB,Michael J. Kalagias,27,0,7,1,0,0,19
Washington,344 Fay 24,U.S. Congress District 03,,LIB,Michael J. Kalagias,10,0,6,0,0,0,4
Washington,345 Fay 25,U.S. Congress District 03,,LIB,Michael J. Kalagias,13,0,7,0,0,0,6
Washington,346 Fay 26,U.S. Congress District 03,,LIB,Michael J. Kalagias,30,0,7,0,0,0,23
Washington,347 Fay 27,U.S. Congress District 03,,LIB,Michael J. Kalagias,28,0,11,0,0,0,17
Washington,348 Fay 28,U.S. Congress District 03,,LIB,Michael J. Kalagias,17,0,5,0,0,0,12
Washington,349 Fay 29,U.S. Congress District 03,,LIB,Michael J. Kalagias,10,0,2,0,0,0,8
Washington,350 Fay 30,U.S. Congress District 03,,LIB,Michael J. Kalagias,22,0,13,0,0,0,9
Washington,351 Fay 31,U.S. Congress District 03,,LIB,Michael J. Kalagias,23,0,11,0,0,0,12
Washington,352 Fay 32,U.S. Congress District 03,,LIB,Michael J. Kalagias,18,0,8,0,0,0,10
Washington,353 Fay 33,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,1,0,0,0,0
Washington,354 Fay 34,U.S. Congress District 03,,LIB,Michael J. Kalagias,19,0,6,0,0,0,13
Washington,355 Fay 35,U.S. Congress District 03,,LIB,Michael J. Kalagias,6,0,2,1,0,0,3
Washington,356 Fay 36,U.S. Congress District 03,,LIB,Michael J. Kalagias,10,0,6,0,0,0,4
Washington,357 Fay 37,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,1,0,0,0,1
Washington,358 Fay 38,U.S. Congress District 03,,LIB,Michael J. Kalagias,7,0,7,0,0,0,0
Washington,359 Fay 39,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,1,0,0,0,1
Washington,360 Fay 40,U.S. Congress District 03,,LIB,Michael J. Kalagias,38,0,20,1,0,0,17
Washington,361 Fay 41,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,1,0,0,0,1
Washington,362 Fay 42,U.S. Congress District 03,,LIB,Michael J. Kalagias,11,0,0,0,0,0,11
Washington,363 Fay 43,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,1,0,0,0,0
Washington,364 Fay 44,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,0,0,0,0,2
Washington,365 Fay 45,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,366 Fay 46,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,2,0,0,0,1
Washington,367 Fay 47,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,368 Fay 48,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,369 Greenland City-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,15,0,2,1,0,0,12
Washington,370 Greenland Twp-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,18,0,7,0,0,0,11
Washington,371 Greenland City-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,4,0,1,0,0,0,3
Washington,372 Greenland Twp-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,5,0,1,0,0,0,4
Washington,373 Goshen City-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,32,0,9,1,0,0,22
Washington,374 Goshen City-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,375 Goshen Twp-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,6,0,0,0,0,0,6
Washington,376 Goshen Twp-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,13,0,6,0,0,0,7
Washington,377 Greenland Twp-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,3,0,0,0,0
Washington,380 Harmon-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,14,0,5,0,0,0,9
Washington,381 Harmon-5,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,382 Harmon-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,383 Harmon-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,0,0,0,0,1
Washington,384 Harmon-4,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,0,0,0,0,2
Washington,385 Harmon-6,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,400 Illinois,U.S. Congress District 03,,LIB,Michael J. Kalagias,8,0,1,1,0,0,6
Washington,419 Johnson Twp-4,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,1,0,0,0,0
Washington,420 Johnson Twp-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,1,0,0,0,0
Washington,421 Johnson City-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,20,0,5,0,0,0,15
Washington,422 Johnson City-4,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,423 Johnson Twp-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,424 Johnson Twp-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,0,0,0,0,1
Washington,425 Johnson City-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,1,0,0,0,2
Washington,426 Johnson City-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,7,0,1,0,0,0,6
Washington,440 Lees Creek,U.S. Congress District 03,,LIB,Michael J. Kalagias,12,0,3,0,0,0,9
Washington,460 Lincoln,U.S. Congress District 03,,LIB,Michael J. Kalagias,21,0,7,0,0,0,14
Washington,480 Litteral-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,4,0,2,0,0,0,2
Washington,481 Litteral-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,482 Litteral-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,23,0,9,0,0,0,14
Washington,483 Litteral-4,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,500 Marrs Hill-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,11,0,4,0,0,0,7
Washington,501 Marrs Hill-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,1,0,0,0,1
Washington,520 Morrow-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,4,0,0,0,0,0,4
Washington,521 Morrow-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,541 Prairie Twp 1,U.S. Congress District 03,,LIB,Michael J. Kalagias,23,0,9,0,0,0,14
Washington,542 Prairie Twp 2,U.S. Congress District 03,,LIB,Michael J. Kalagias,12,0,2,0,0,0,10
Washington,543 Prairie Twp 3,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,1,0,0,0,0
Washington,544 Prairie Twp 4,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,0,0,0,0,1
Washington,545 Prairie Twp 5,U.S. Congress District 03,,LIB,Michael J. Kalagias,10,0,5,0,0,0,5
Washington,546 Prairie Twp 6,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,547 Prairie Twp 7,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,548 Prairie Twp 8,U.S. Congress District 03,,LIB,Michael J. Kalagias,11,0,6,0,0,0,5
Washington,549 Prairie Twp 9,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,550 Prairie Grove City-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,35,0,18,0,0,0,17
Washington,560 Prairie Grove City-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,28,0,9,0,0,0,19
Washington,561 Prairie Grove City-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,2,0,0,0,0
Washington,562 Prairie Grove City-4,U.S. Congress District 03,,LIB,Michael J. Kalagias,13,0,7,0,0,0,6
Washington,563 Prairie Grove City-5,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,580 Prairie Grove Twp-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,5,0,4,0,0,0,1
Washington,581 Prairie Grove Twp-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,6,0,2,0,0,0,4
Washington,582 Prairie Grove Twp-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,15,0,11,0,0,0,4
Washington,620 Reed-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,10,0,6,0,0,0,4
Washington,621 Reed-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,640 Rheas Mill,U.S. Congress District 03,,LIB,Michael J. Kalagias,7,0,2,0,0,0,5
Washington,660 Richland-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,661 Richland-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,17,0,9,1,0,0,7
Washington,662 Richland-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,2,0,0,0,0
Washington,680 Spg 01,U.S. Congress District 03,,LIB,Michael J. Kalagias,9,0,2,0,0,0,7
Washington,690 Spg 02,U.S. Congress District 03,,LIB,Michael J. Kalagias,14,0,6,0,0,0,8
Washington,700 Spg 03,U.S. Congress District 03,,LIB,Michael J. Kalagias,23,0,10,0,0,0,13
Washington,710 Spg 04,U.S. Congress District 03,,LIB,Michael J. Kalagias,29,0,14,1,0,0,14
Washington,720 Spg 05,U.S. Congress District 03,,LIB,Michael J. Kalagias,10,0,6,1,0,0,3
Washington,730 Spg 06,U.S. Congress District 03,,LIB,Michael J. Kalagias,8,0,5,0,0,0,3
Washington,740 Spg 07,U.S. Congress District 03,,LIB,Michael J. Kalagias,14,0,5,0,0,0,9
Washington,741 Spg 08,U.S. Congress District 03,,LIB,Michael J. Kalagias,13,0,5,0,0,0,8
Washington,742 Spg 09,U.S. Congress District 03,,LIB,Michael J. Kalagias,11,0,4,0,0,0,7
Washington,743 Spg 10,U.S. Congress District 03,,LIB,Michael J. Kalagias,7,0,2,0,0,0,5
Washington,744 Spg 11,U.S. Congress District 03,,LIB,Michael J. Kalagias,10,0,0,0,0,0,10
Washington,745 Spg 12,U.S. Congress District 03,,LIB,Michael J. Kalagias,35,0,13,1,0,0,21
Washington,746 Spg 13,U.S. Congress District 03,,LIB,Michael J. Kalagias,23,0,8,0,0,0,15
Washington,747 Spg 14,U.S. Congress District 03,,LIB,Michael J. Kalagias,27,0,9,0,0,0,18
Washington,748 Spg 15,U.S. Congress District 03,,LIB,Michael J. Kalagias,18,0,9,0,0,0,9
Washington,749 Spg 16,U.S. Congress District 03,,LIB,Michael J. Kalagias,10,0,6,0,0,0,4
Washington,752 Spg 17,U.S. Congress District 03,,LIB,Michael J. Kalagias,17,0,5,0,0,0,12
Washington,753 Spg 18,U.S. Congress District 03,,LIB,Michael J. Kalagias,22,0,10,0,0,0,12
Washington,754 Spg 19,U.S. Congress District 03,,LIB,Michael J. Kalagias,12,0,4,0,0,0,8
Washington,755 Spg 20,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,0,0,0,0,2
Washington,756 Spg 21,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,1,0,0,0,1
Washington,757 Spg 22,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,1,0,0,0,1
Washington,758 Spg 23,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,759 Spg 24,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,0,0,0,0,3
Washington,760 Spg 25,U.S. Congress District 03,,LIB,Michael J. Kalagias,6,0,2,0,0,0,4
Washington,761 Spg 26,U.S. Congress District 03,,LIB,Michael J. Kalagias,7,0,1,0,0,0,6
Washington,762 Spg 27,U.S. Congress District 03,,LIB,Michael J. Kalagias,6,0,2,0,0,0,4
Washington,763 Spg 28,U.S. Congress District 03,,LIB,Michael J. Kalagias,5,0,2,0,0,0,3
Washington,764 Spg 29,U.S. Congress District 03,,LIB,Michael J. Kalagias,8,0,5,0,0,0,3
Washington,765 Spg 30,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,0,0,0,0,2
Washington,766 Spg 31,U.S. Congress District 03,,LIB,Michael J. Kalagias,8,0,4,0,0,0,4
Washington,767 Spg 32,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,768 Spg 33,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,1,0,0,0,2
Washington,769 Spg 34,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,0,0,0,0,1
Washington,770 Spg 35,U.S. Congress District 03,,LIB,Michael J. Kalagias,12,0,5,0,0,0,7
Washington,771 Spg 36,U.S. Congress District 03,,LIB,Michael J. Kalagias,5,0,1,0,0,0,4
Washington,772 Spg 37,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,0,0,0,0,2
Washington,773 Spg 38,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,774 Spg 39,U.S. Congress District 03,,LIB,Michael J. Kalagias,8,0,2,0,0,0,6
Washington,775 Spg 40,U.S. Congress District 03,,LIB,Michael J. Kalagias,10,0,2,0,0,0,8
Washington,776 Spg 41,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,1,0,0,0,2
Washington,778 Spg 43,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,779 Spg Twp-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,11,0,4,0,0,0,7
Washington,780 Starr Hill,U.S. Congress District 03,,LIB,Michael J. Kalagias,8,0,4,0,0,0,4
Washington,781 Spg Twp-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,21,0,2,0,0,0,19
Washington,782 Spg Twp-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,783 Spg Twp-4,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,800 Tontitown City-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,15,0,5,0,0,0,10
Washington,801 Tontitown City-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,8,0,6,0,0,0,2
Washington,802 Tontitown City-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,803 Tontitown City-4,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,0,0,0,0,1
Washington,804 Tontitown City-5,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,805 Tontitown City-6,U.S. Congress District 03,,LIB,Michael J. Kalagias,27,0,16,0,0,0,11
Washington,807 Tontitown Twp,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,810 Valley-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,17,0,6,0,0,0,11
Washington,811 Valley-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,0,0,0,0,2
Washington,812 Valley-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,4,0,3,0,0,0,1
Washington,820 Vineyard,U.S. Congress District 03,,LIB,Michael J. Kalagias,5,0,0,0,0,0,5
Washington,830 War Eagle,U.S. Congress District 03,,LIB,Michael J. Kalagias,5,0,2,0,0,0,3
Washington,840 Wedington,U.S. Congress District 03,,LIB,Michael J. Kalagias,5,0,0,0,0,0,5
Washington,860 West Fork City-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,40,0,22,0,0,0,18
Washington,861 West Fork City-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,4,0,4,0,0,0,0
Washington,862 West Fork City-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,880 West Fork Twp-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,9,0,6,0,0,0,3
Washington,881 West Fork Twp-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,6,0,2,0,0,0,4
Washington,882 West Fork Twp-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,2,0,1,0,0,0,1
Washington,900 Wheeler-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,14,0,7,0,0,0,7
Washington,901 Wheeler-4,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,902 Wheeler-5,U.S. Congress District 03,,LIB,Michael J. Kalagias,4,0,4,0,0,0,0
Washington,903 Wheeler-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,8,0,3,0,0,0,5
Washington,904 Wheeler-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,1,0,1,0,0,0,0
Washington,920 White River-1,U.S. Congress District 03,,LIB,Michael J. Kalagias,4,0,2,0,0,0,2
Washington,930 White River-2,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,1,0,0,0,2
Washington,931 White River-3,U.S. Congress District 03,,LIB,Michael J. Kalagias,5,0,0,0,0,0,5
Washington,932 White River-4,U.S. Congress District 03,,LIB,Michael J. Kalagias,0,0,0,0,0,0,0
Washington,933 White River-5,U.S. Congress District 03,,LIB,Michael J. Kalagias,3,0,3,0,0,0,0
Washington,940 Winslow Twp,U.S. Congress District 03,,LIB,Michael J. Kalagias,14,0,3,0,0,0,11
Washington,950 Winslow City,U.S. Congress District 03,,LIB,Michael J. Kalagias,5,0,1,0,0,0,4
Washington,960 Wyman,U.S. Congress District 03,,LIB,Michael J. Kalagias,10,0,1,0,0,0,9
Washington,020 Boston,Governor,,DEM,Chris Jones,36,0,10,0,0,0,26
Washington,040 Brush Creek,Governor,,DEM,Chris Jones,309,0,140,11,0,0,158
Washington,060 Cane Hill-1,Governor,,DEM,Chris Jones,90,0,31,0,0,0,59
Washington,061 Cane Hill-2,Governor,,DEM,Chris Jones,29,0,13,2,0,0,14
Washington,062 Cane Hill-3,Governor,,DEM,Chris Jones,0,0,0,0,0,0,0
Washington,080 Center-1,Governor,,DEM,Chris Jones,197,0,131,4,0,0,62
Washington,082 Center-2,Governor,,DEM,Chris Jones,22,0,14,0,0,0,8
Washington,083 Center-3,Governor,,DEM,Chris Jones,0,0,0,0,0,0,0
Washington,084 Center-4,Governor,,DEM,Chris Jones,9,0,6,0,0,0,3
Washington,085 Center-5,Governor,,DEM,Chris Jones,33,0,20,2,0,0,11
Washington,100 Cove Creek-1,Governor,,DEM,Chris Jones,100,0,61,0,0,0,39
Washington,101 Cove Creek-2,Governor,,DEM,Chris Jones,0,0,0,0,0,0,0
Washington,110 Cove Creek-3,Governor,,DEM,Chris Jones,7,0,7,0,0,0,0
Washington,120 Crawford,Governor,,DEM,Chris Jones,119,0,45,0,0,0,74
Washington,140 Durham,Governor,,DEM,Chris Jones,98,0,54,0,0,0,44
Washington,160 Dutch Mills,Governor,,DEM,Chris Jones,19,0,6,2,0,0,11
Washington,180 Elkins-1,Governor,,DEM,Chris Jones,412,0,222,2,0,0,188
Washington,181 Elkins-2,Governor,,DEM,Chris Jones,54,0,35,0,0,0,19
Washington,200 Elm Springs Twp,Governor,,DEM,Chris Jones,29,0,11,0,0,0,18
Washington,210 Elm Springs City-1,Governor,,DEM,Chris Jones,121,0,54,2,0,0,65
Washington,211 Elm Springs City-2,Governor,,DEM,Chris Jones,100,0,39,1,0,0,60
Washington,220 Farmington-1,Governor,,DEM,Chris Jones,309,0,188,8,0,0,113
Washington,221 Farmington-5,Governor,,DEM,Chris Jones,17,0,9,1,0,0,7
Washington,222 Farmington-2,Governor,,DEM,Chris Jones,453,0,233,14,0,0,206
Washington,223 Farmington-3,Governor,,DEM,Chris Jones,220,0,132,3,0,0,85
Washington,224 Farmington-4,Governor,,DEM,Chris Jones,163,0,87,3,0,0,73
Washington,225 Farmington-6,Governor,,DEM,Chris Jones,21,0,13,0,0,0,8
Washington,240 Fay 01,Governor,,DEM,Chris Jones,237,0,107,3,0,0,127
Washington,241 Fay 49,Governor,,DEM,Chris Jones,188,0,114,3,0,0,71
Washington,242 Fay 50,Governor,,DEM,Chris Jones,208,0,127,4,0,0,77
Washington,243 Fay 51,Governor,,DEM,Chris Jones,7,0,4,0,0,0,3
Washington,244 Fay 52,Governor,,DEM,Chris Jones,5,0,4,0,0,0,1
Washington,245 Fay 53,Governor,,DEM,Chris Jones,37,0,24,2,0,0,11
Washington,246 Fay 54,Governor,,DEM,Chris Jones,0,0,0,0,0,0,0
Washington,247 Fay 55,Governor,,DEM,Chris Jones,28,0,20,1,0,0,7
Washington,248 Fay 56,Governor,,DEM,Chris Jones,293,0,196,3,0,0,94
Washington,249 Fay 57,Governor,,DEM,Chris Jones,5,0,4,1,0,0,0
Washington,250 Fay 02,Governor,,DEM,Chris Jones,214,0,132,7,0,0,75
Washington,251 Fay 58,Governor,,DEM,Chris Jones,257,0,146,2,0,0,109
Washington,252 Fay 59,Governor,,DEM,Chris Jones,121,0,72,10,0,0,39
Washington,253 Fay 60,Governor,,DEM,Chris Jones,0,0,0,0,0,0,0
Washington,254 Fay 61,Governor,,DEM,Chris Jones,0,0,0,0,0,0,0
Washington,255 Fay 62,Governor,,DEM,Chris Jones,0,0,0,0,0,0,0
Washington,256 Fay 63,Governor,,DEM,Chris Jones,25,0,15,1,0,0,9
Washington,257 Fay 64,Governor,,DEM,Chris Jones,19,0,10,0,0,0,9
